Net,Group,Vnet1,Vnet2
_DRAM_CORE.BANK0.net1,1,VDD,VON
_DRAM_CORE.BANK0.net2,1,VEXT,VSS
_DRAM_CORE.BANK0.net3,1,VEXT,VDD
_DRAM_CORE.BANK0.net4,1,VSSQ,VON
_DRAM_CORE.BANK0.net5,1,VEXT,VDD
_DRAM_CORE.BANK0.net6,1,VSSQ,VDDQ
_DRAM_CORE.BANK0.net7,1,VSS,VEXT
_DRAM_CORE.BANK0.net8,1,VDD,VEXT
_DRAM_CORE.BANK0.net9,1,VSS,VSS
_DRAM_CORE.BANK0.net10,1,VSSQ,VSSQ
_DRAM_CORE.BANK1.net11,2,VSS,VOFF
_DRAM_CORE.BANK1.net12,2,VDDQ,VOFF
_DRAM_CORE.BANK1.net13,2,VDD,VSSQ
_DRAM_CORE.BANK1.net14,2,VDD,VEXT
_DRAM_CORE.BANK1.net15,2,VON,VON
_DRAM_CORE.BANK1.net16,2,VEXT,VDDQ
_DRAM_CORE.BANK1.net17,2,VEXT,VOFF
_DRAM_CORE.BANK1.net18,2,VSSQ,VSSQ
_DRAM_CORE.BANK1.net19,2,VDDQ,VON
_DRAM_CORE.BANK1.net20,2,VON,VSS
_DRAM_CORE.BANK2.net21,3,VOFF,VON
_DRAM_CORE.BANK2.net22,3,VDDQ,VOFF
_DRAM_CORE.BANK2.net23,3,VDD,VSSQ
_DRAM_CORE.BANK2.net24,3,VEXT,VDD
_DRAM_CORE.BANK2.net25,3,VSSQ,VDDQ
_DRAM_CORE.BANK2.net26,3,VSSQ,VOFF
_DRAM_CORE.BANK2.net27,3,VDD,VON
_DRAM_CORE.BANK2.net28,3,VDDQ,VON
_DRAM_CORE.BANK2.net29,3,VEXT,VDD
_DRAM_CORE.BANK2.net30,3,VSSQ,VDDQ
_DRAM_CORE.BANK3.net31,4,VOFF,VDD
_DRAM_CORE.BANK3.net32,4,VSSQ,VSS
_DRAM_CORE.BANK3.net33,4,VSSQ,VDD
_DRAM_CORE.BANK3.net34,4,VON,VEXT
_DRAM_CORE.BANK3.net35,4,VEXT,VDD
_DRAM_CORE.BANK3.net36,4,VOFF,VSS
_DRAM_CORE.BANK3.net37,4,VON,VOFF
_DRAM_CORE.BANK3.net38,4,VON,VDDQ
_DRAM_CORE.BANK3.net39,4,VDD,VON
_DRAM_CORE.BANK3.net40,4,VSS,VSSQ
_DRAM_CORE.BANK0.net41,1,VOFF,VON
_DRAM_CORE.BANK0.net42,1,VON,VDDQ
_DRAM_CORE.BANK0.net43,1,VDD,VSSQ
_DRAM_CORE.BANK0.net44,1,VDDQ,VSSQ
_DRAM_CORE.BANK0.net45,1,VSS,VDD
_DRAM_CORE.BANK0.net46,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net47,1,VSSQ,VSSQ
_DRAM_CORE.BANK0.net48,1,VDD,VDD
_DRAM_CORE.BANK0.net49,1,VOFF,VOFF
_DRAM_CORE.BANK0.net50,1,VEXT,VDDQ
_DRAM_CORE.BANK1.net51,2,VON,VOFF
_DRAM_CORE.BANK1.net52,2,VSS,VEXT
_DRAM_CORE.BANK1.net53,2,VDDQ,VOFF
_DRAM_CORE.BANK1.net54,2,VEXT,VEXT
_DRAM_CORE.BANK1.net55,2,VEXT,VDD
_DRAM_CORE.BANK1.net56,2,VDDQ,VOFF
_DRAM_CORE.BANK1.net57,2,VSSQ,VDDQ
_DRAM_CORE.BANK1.net58,2,VSS,VSSQ
_DRAM_CORE.BANK1.net59,2,VSS,VEXT
_DRAM_CORE.BANK1.net60,2,VDD,VOFF
_DRAM_CORE.BANK2.net61,3,VSS,VSSQ
_DRAM_CORE.BANK2.net62,3,VON,VEXT
_DRAM_CORE.BANK2.net63,3,VSSQ,VDDQ
_DRAM_CORE.BANK2.net64,3,VDDQ,VDDQ
_DRAM_CORE.BANK2.net65,3,VSS,VSS
_DRAM_CORE.BANK2.net66,3,VDDQ,VSS
_DRAM_CORE.BANK2.net67,3,VOFF,VEXT
_DRAM_CORE.BANK2.net68,3,VEXT,VSS
_DRAM_CORE.BANK2.net69,3,VDD,VON
_DRAM_CORE.BANK2.net70,3,VOFF,VON
_DRAM_CORE.BANK3.net71,4,VSS,VSSQ
_DRAM_CORE.BANK3.net72,4,VSS,VDDQ
_DRAM_CORE.BANK3.net73,4,VDD,VDDQ
_DRAM_CORE.BANK3.net74,4,VEXT,VON
_DRAM_CORE.BANK3.net75,4,VOFF,VSS
_DRAM_CORE.BANK3.net76,4,VSSQ,VOFF
_DRAM_CORE.BANK3.net77,4,VDD,VDD
_DRAM_CORE.BANK3.net78,4,VOFF,VSSQ
_DRAM_CORE.BANK3.net79,4,VSS,VOFF
_DRAM_CORE.BANK3.net80,4,VSS,VSSQ
_DRAM_CORE.BANK0.net81,1,VDD,VSSQ
_DRAM_CORE.BANK0.net82,1,VEXT,VOFF
_DRAM_CORE.BANK0.net83,1,VDDQ,VON
_DRAM_CORE.BANK0.net84,1,VDDQ,VEXT
_DRAM_CORE.BANK0.net85,1,VDD,VOFF
_DRAM_CORE.BANK0.net86,1,VON,VOFF
_DRAM_CORE.BANK0.net87,1,VDDQ,VDD
_DRAM_CORE.BANK0.net88,1,VDD,VDDQ
_DRAM_CORE.BANK0.net89,1,VSSQ,VDDQ
